"id","journal","créé","modif","url","titre","signataire","section","mention IA dans texte"
3202351,"Journal Métro",2025-10-02T12:13:08,2025-10-02T15:16:09,"https://journalmetro.com/actualites/elections/3202351/ensemble-montreal-veut-utiliser-lia-pour-accelerer-la-construction-de-logements/","Ensemble Montréal veut utiliser l’IA pour accélérer la construction de logements","Olivier Robichaud","Élections","non"
3202373,"Journal Métro",2025-10-02T20:20:06,2025-10-02T20:20:09,"https://journalmetro.com/actualites/elections/3202373/le-logement-domine-le-debat-economique-pour-la-mairie-de-montreal/","Le logement domine le débat économique pour la mairie de Montréal","Olivier Robichaud","Élections","non"
3202388,"Journal Métro",2025-10-03T09:19:01,2025-10-03T09:19:03,"https://journalmetro.com/local/ouest-de-lile/3202388/greve-postes-canada-dorval-distribuera-cartons-elections/","Grève de Postes Canada: Dorval distribuera directement les cartons d’élections","Journal Métro","Ouest-de-l’Île","oui"
3202379,"Journal Métro",2025-10-03T13:32:15,2025-10-03T13:32:17,"https://journalmetro.com/societe/3202379/philanthropie-outil-financement-organismes-communautaires/","La philanthropie, le bon outil pour le financement communautaire?","Journal Métro","Société","oui"
3202385,"Journal Métro",2025-10-03T13:43:49,2025-10-03T13:43:51,"https://journalmetro.com/local/3202385/budget-2026-un-tournant-pour-le-district-central/","Le District Central poursuit son réaménagement","Journal Métro","Local","oui"
3202390,"Journal Métro",2025-10-03T06:38:30,2025-10-03T15:37:47,"https://journalmetro.com/actualites/elections/3202390/logement-projet-montreal-veut-proteger-les-maisons-de-chambres/","Logement: Projet Montréal veut protéger les maisons de chambres","Olivier Robichaud","Élections","non"
3202446,"Journal Métro",2025-10-06T06:34:56,2025-10-06T06:34:59,"https://journalmetro.com/local/3202446/l-arena-d-outremont-renommee-en-hommage-a-andre-laperriere/","L’aréna d’Outremont renommée en hommage à André Laperrière","Journal Métro","Local","oui"
3202467,"Journal Métro",2025-10-06T06:51:29,2025-10-06T06:51:31,"https://journalmetro.com/societe/3202467/le-quebec-en-queue-de-peloton-pour-la-mobilite-sociale-au-canada/","Le Québec en queue de peloton pour la mobilité sociale au Canada","Journal Métro","Société","oui"
3202470,"Journal Métro",2025-10-02T17:25:01,2025-10-06T07:06:28,"https://journalmetro.com/actualites/elections/3202470/projet-montreal-devoile-ses-engagements-pour-revitaliser-le-centre-ville/","Projet Montréal dévoile ses engagements pour revitaliser le centre-ville","Journal Métro","Élections","oui"
3202526,"Journal Métro",2025-10-06T09:43:14,2025-10-06T09:43:16,"https://journalmetro.com/actualites/3202526/les-partis-presentent-leurs-promesses-pour-lest-de-montreal/","Les partis présentent leurs promesses pour l’Est de Montréal","Olivier Robichaud","Actualités","non"
395143,"Métro Québec",2025-10-06T14:30:10,2025-10-06T14:30:12,"https://metroquebec.com/actualites/395143/talents-ailleurs-attirer-travailleurs-immigrants-quebec/","«Talents d’ailleurs», une initiative pour stimuler le recrutement international à Québec","Quebec Redaction","Actualités","oui"
395146,"Métro Québec",2025-10-06T14:48:53,2025-10-06T14:48:56,"https://metroquebec.com/actualites/395146/quebec-international-brille-a-nouveau-sur-la-scene-internationale/","Trois reconnaissances pour Québec international","Quebec Redaction","Actualités","oui"
395224,"Métro Québec",2025-10-06T14:58:10,2025-10-06T14:58:11,"https://metroquebec.com/actualites/politique/395224/quebec-d-abord-reduction-des-chantiers-et-refection-des-trottoirs/","Québec d’abord: réduction des chantiers et réfection des trottoirs","Quebec Redaction","Politique","oui"
395267,"Métro Québec",2025-10-06T15:18:08,2025-10-06T15:18:09,"https://metroquebec.com/actualites/politique/395267/insultes-alexandre-giasson-sexcuse-aupres-de-bruno-marchand/","Insultes: Alexandre Giasson s’excuse auprès de Bruno Marchand","Olivier Robichaud","Politique","non"
3202533,"Journal Métro",2025-10-06T12:16:19,2025-10-06T16:40:35,"https://journalmetro.com/actualites/elections/3202533/nouvelles-critiques-dun-candidat-injurieux-densemble-montreal/","Nouvelles critiques contre un candidat injurieux d’Ensemble Montréal","Olivier Robichaud","Élections","non"
3202551,"Journal Métro",2025-10-06T16:30:19,2025-10-06T17:02:02,"https://journalmetro.com/actualites/elections/3202551/soraya-martinez-ferrada-exclut-le-candidat-alexandre-giasson-de-son-parti/","Soraya Martinez Ferrada exclut le candidat Alexandre Giasson de son parti","Olivier Robichaud","Élections","non"
3202530,"Journal Métro",2025-10-06T16:20:47,2025-10-06T17:02:26,"https://journalmetro.com/actualites/elections/3202530/debat-de-la-ccem-des-promesses-qui-se-ressemblent-pour-lest-de-montreal/","Débat de la CCEM: des promesses qui se ressemblent pour l’Est de Montréal","Olivier Robichaud","Élections","non"
3202585,"Journal Métro",2025-10-07T11:43:16,2025-10-07T11:43:18,"https://journalmetro.com/actualites/3202585/election-municipale-2025-a-longueuil-48-candidats-en-lice/","Trois candidats élus par acclamation à Longueuil","Journal Métro","Actualités","oui"
3202582,"Journal Métro",2025-10-07T12:06:03,2025-10-07T12:06:05,"https://journalmetro.com/local/ahuntsic-cartierville/3202582/logistique-urbaine-a-montreal-vers-une-coherence-necessaire/","District Central réclame plus de cohérence dans la logistique du transport","Journal Métro","Ahuntsic-Cartierville","oui"
3202620,"Journal Métro",2025-10-07T12:37:52,2025-10-07T12:37:55,"https://journalmetro.com/actualites/elections/3202620/candidat-exclu-soraya-martinez-ferrada-defend-ses-decisions/","Candidat exclu: Soraya Martinez Ferrada défend ses décisions","Olivier Robichaud","Élections","non"
3202640,"Journal Métro",2025-10-07T16:09:45,2025-10-07T16:47:18,"https://journalmetro.com/actualites/elections/3202640/projet-montreal-logements-artistes/","Projet Montréal veut réserver des logements aux artistes","Journal Métro","Élections","oui"
3202650,"Journal Métro",2025-10-07T17:00:34,2025-10-07T17:00:37,"https://journalmetro.com/local/cote-des-neiges-notre-dame-de-grace/3202650/avis-d-ebullition-en-vigueur-a-cote-des-neiges-ndg/","Avis d’ébullition en vigueur dans Notre-Dame-de-Grâce","Agent IA Journal Métro","Côte-des-Neiges–Notre-Dame-de-Grâce","oui"
3202624,"Journal Métro",2025-10-07T13:18:12,2025-10-07T20:48:10,"https://journalmetro.com/actualites/elections/3202624/ensemble-montreal-promet-des-cameras-corporelles-pour-tous-les-policiers/","Ensemble Montréal promet des caméras corporelles pour tous les policiers","Olivier Robichaud","Élections","non"
3202663,"Journal Métro",2025-10-08T05:00:00,2025-10-07T21:36:27,"https://journalmetro.com/actualites/elections/3202663/debat-lcn-luc-rabouin-attaque-bilan-projet-montreal/","Débat à LCN: Luc Rabouin attaqué sur le bilan de Projet Montréal","Olivier Robichaud","Élections","non"
3202710,"Journal Métro",2025-10-08T07:33:09,2025-10-08T08:58:59,"https://journalmetro.com/culture/arts-et-spectacles/3202710/serge-fiori-le-spectacle-seul-ensemble-de-retour-en-2026/","Serge Fiori: le spectacle Seul ensemble de retour en 2026","Olivier Robichaud","Arts et spectacles","non"
3202719,"Journal Métro",2025-10-08T11:45:10,2025-10-08T11:45:13,"https://journalmetro.com/culture/3202719/le-salon-du-livre-revient-dans-les-quartiers-de-montreal-et-dailleurs/","Le Salon du livre revient dans les quartiers de Montréal et d’ailleurs","Agent IA Journal Métro","Culture","oui"
395355,"Métro Québec",2025-10-03T15:31:40,2025-10-08T16:07:28,"https://metroquebec.com/actualites/politique/395355/elections-municipales-2025-123-candidats-en-lice-a-quebec/","Élections municipales 2025 : 123 candidats en lice à Québec","Agent IA Métro Québec","Politique","oui"
3202783,"Journal Métro",2025-10-08T16:34:25,2025-10-08T16:34:27,"https://journalmetro.com/actualites/elections/3202783/ensemble-montreal-promet-3-m-pour-stimuler-la-culture-dans-les-quartiers/","Ensemble Montréal promet 3 M$ pour stimuler la culture dans les quartiers","Agent IA Journal Métro","Élections","oui"
3202787,"Journal Métro",2025-10-08T17:09:15,2025-10-08T17:10:25,"https://journalmetro.com/actualites/montreal/3202787/la-rive-sud-appuie-les-changements-a-la-cmm-avec-un-ajustement/","La Rive-Sud appuie les changements à la CMM, avec un ajustement","Agent IA Journal Métro","Montréal","oui"
3202797,"Journal Métro",2025-10-09T07:09:06,2025-10-09T07:09:10,"https://journalmetro.com/culture/3202797/le-calq-octroie-178-6-m-pour-soutenir-l-art-quebecois/","178,6 M$ en soutien du Conseil des arts et des lettres en 2024-2025","Agent IA Journal Métro","Culture","oui"
3202822,"Journal Métro",2025-10-09T10:30:24,2025-10-09T10:30:26,"https://journalmetro.com/local/mercier-hochelaga-maisonneuve/3202822/itinerance-rabouin-et-martinez-ferrada-promettent-daider-le-cap-st-barnabe/","Itinérance: Rabouin et Martinez Ferrada promettent d’aider le CAP St-Barnabé","Olivier Robichaud","Mercier-Hochelaga-Maisonneuve","non"
3202834,"Journal Métro",2025-10-09T12:54:35,2025-10-09T12:54:38,"https://journalmetro.com/local/ouest-de-lile/3202834/senneville-prolonge-la-consultation-publique-sur-les-loisirs/","Senneville prolonge la consultation publique sur les loisirs","Agent IA Journal Métro","Ouest-de-l’Île","oui"
3202839,"Journal Métro",2025-10-09T14:01:11,2025-10-09T14:01:13,"https://journalmetro.com/actualites/elections/3202839/aucun-demantelement-de-campements-itinerants-promet-craig-sauve/","Aucun démantèlement de campements itinérants promet Craig Sauvé","Olivier Robichaud","Élections","non"
3202824,"Journal Métro",2025-10-09T16:33:53,2025-10-09T16:37:58,"https://journalmetro.com/actualites/3202824/hommage-a-georges-bourelle-pour-son-engagement-envers-beaconsfield/","Beaconsfield: Georges Bourelle reçoit la médaille d’honneur","Agent IA Journal Métro","Actualités","oui"
395447,"Métro Québec",2025-10-09T17:04:50,2025-10-09T17:04:52,"https://metroquebec.com/actualites/395447/greve-postes-canada-quebec-avis-inscription/","Grève de Postes Canada: Québec distribue les avis d’inscription par le privé","Agent IA Métro Québec","Actualités","oui"
395450,"Métro Québec",2025-10-09T17:14:10,2025-10-09T17:14:12,"https://metroquebec.com/local/395450/reverbere-illumine-le-vieux-quebec-avec-des-arts-de-rue/","Réverbère illumine le Vieux-Québec avec des arts de rue","Agent IA Métro Québec","Local","oui"
395462,"Métro Québec",2025-10-09T19:52:49,2025-10-09T19:52:51,"https://metroquebec.com/actualites/395462/lachalandage-double-a-la-promenade-samuel-de-champlain/","L’achalandage double à la promenade Samuel-De Champlain","Agent IA Métro Québec","Actualités","oui"
3202721,"Journal Métro",2025-10-10T06:36:55,2025-10-10T06:36:59,"https://journalmetro.com/actualites/montreal/3202721/action-de-grace-a-montreal-ce-qui-reste-ouvert-et-ferme/","Action de grâce à Montréal : ce qui reste ouvert et fermé","Agent IA Journal Métro","Montréal","oui"
3202800,"Journal Métro",2025-10-10T06:45:06,2025-10-10T06:45:08,"https://journalmetro.com/local/ouest-de-lile/3202800/fermeture-des-batiments-municipaux-a-dorval-pour-l-action-de-grace/","Fermeture des bâtiments municipaux à Dorval pour l’Action de grâce","Agent IA Journal Métro","Ouest-de-l’Île","oui"
3202852,"Journal Métro",2025-10-10T06:59:12,2025-10-10T06:59:14,"https://journalmetro.com/local/cote-des-neiges-notre-dame-de-grace/3202852/levee-de-l-avis-d-ebullition-a-cote-des-neiges-notre-dame-de-grace/","Levée de l’avis d’ébullition dans Notre-Dame-de-Grâce","Agent IA Journal Métro","Côte-des-Neiges–Notre-Dame-de-Grâce","oui"
3202855,"Journal Métro",2025-10-10T07:20:57,2025-10-10T08:58:23,"https://journalmetro.com/local/riviere-des-prairies-pointe-aux-trembles/3202855/revitalisation-et-nouvelles-initiatives-a-riviere-des-prairies-pointe-aux-trembl/","Bientôt une microbrasserie dans le Vieux-Pointe-aux-Trembles","Agent IA Journal Métro","Rivière-des-Prairies–Pointe-aux-Trembles","oui"
3202875,"Journal Métro",2025-10-10T09:43:41,2025-10-10T10:25:59,"https://journalmetro.com/actualites/elections/3202875/airbnb-ensemble-montreal-interdirait-la-location-commerciale-de-logements-touristiques/","Airbnb: Ensemble Montréal interdirait la location commerciale de logements touristiques","Olivier Robichaud","Élections","non"
3202885,"Journal Métro",2025-10-10T10:51:57,2025-10-10T10:52:00,"https://journalmetro.com/actualites/national/3202885/enquete-publique-sur-des-collisions-mortelles-impliquant-des-camions-lourds/","Enquête publique sur des collisions mortelles impliquant des camions lourds","Agent IA Journal Métro","National","oui"
3202896,"Journal Métro",2025-10-10T14:09:29,2025-10-10T14:09:30,"https://journalmetro.com/actualites/3202896/projet-montreal-propose-des-camps-de-jour-a-7-dollars/","Projet Montréal propose des camps de jour à 7 dollars","Olivier Robichaud","Actualités","non"
3202891,"Journal Métro",2025-10-10T13:36:11,2025-10-13T22:04:14,"https://journalmetro.com/actualites/elections/3202891/ensemble-montreal-le-theatre-empress-pour-heberger-la-culture/","Ensemble Montréal: le théâtre Empress pour héberger la culture","Agent IA Journal Métro","Élections","oui"
3202905,"Journal Métro",2025-10-14T05:00:00,2025-10-13T22:21:19,"https://journalmetro.com/debats/3202905/logement-course-enlever-chemin/","Logement : la course pour s’ôter du chemin","Olivier Robichaud","Débats","non"
3202915,"Journal Métro",2025-10-11T15:00:00,2025-10-14T06:56:35,"https://journalmetro.com/actualites/elections/3202915/projet-montreal-veut-ajouter-des-points-dacces-au-fleuve/","Projet Montréal veut ajouter des points d’accès au fleuve","Agent IA Journal Métro","Élections","oui"
3202923,"Journal Métro",2025-10-12T15:24:00,2025-10-14T07:26:31,"https://journalmetro.com/actualites/montreal/3202923/projet-montreal-veut-pietonniser-le-vieux-montreal/","Projet Montréal veut piétonniser le Vieux-Montréal","Agent IA Journal Métro","Montréal","oui"
3202967,"Journal Métro",2025-10-14T11:06:44,2025-10-14T11:06:48,"https://journalmetro.com/culture/ecrans/3202967/lemission-loeil-du-cyclone-sera-diffusee-en-allemagne/","L’émission «L’oeil du cyclone» sera diffusée en Allemagne","Agent IA Journal Métro","Écrans","oui"
3202956,"Journal Métro",2025-10-14T11:17:21,2025-10-14T11:17:23,"https://journalmetro.com/actualites/3202956/fermeture-temporaire-du-chemin-du-tremblay-pour-travaux-a-longueuil-2/","Fermeture complète du chemin Du Tremblay à Longueuil","Agent IA Journal Métro","Actualités","oui"
3202978,"Journal Métro",2025-10-14T11:36:06,2025-10-14T11:36:09,"https://journalmetro.com/culture/ecrans/3202978/philippe-laprise-allie-voyages-et-humour-au-portugal/","Philippe Laprise allie voyages et humour au Portugal","Agent IA Journal Métro","Écrans","oui"
395541,"Métro Québec",2025-10-14T11:50:06,2025-10-14T11:50:08,"https://metroquebec.com/culture/ecrans/395541/philippe-laprise-allie-voyages-et-humour-au-portugal/","Philippe Laprise allie voyages et humour au Portugal","Agent IA Métro Québec","Écrans","oui"
3202984,"Journal Métro",2025-10-14T13:40:24,2025-10-14T13:40:27,"https://journalmetro.com/local/3202984/un-parc-de-rosemont-renomme-en-hommage-a-andre-lavallee/","Un parc de Rosemont renommé en hommage à André Lavallée","Agent IA Journal Métro","Local","oui"
3202994,"Journal Métro",2025-10-14T14:36:50,2025-10-14T14:36:55,"https://journalmetro.com/actualites/elections/3202994/transport-projet-montreal-promet-un-reseau-express-bus/","Transport: Projet Montréal promet un Réseau express bus","Agent IA Journal Métro","Élections","oui"
3203011,"Journal Métro",2025-10-15T03:30:00,2025-10-15T06:25:58,"https://journalmetro.com/inspiration/habitation-et-immobilier/3203011/le-prix-dune-propriete-augmente-de-49-dans-le-grand-montreal/","Le prix d’une propriété augmente de 4,9% dans le Grand Montréal","Olivier Robichaud","Habitation et immobilier","non"
395575,"Métro Québec",2025-10-15T06:52:58,2025-10-15T06:53:00,"https://metroquebec.com/inspiration/habitation-et-immobilier/395575/surchauffe-des-prix-des-proprietes-a-quebec/","Surchauffe des prix des propriétés à Québec","Olivier Robichaud","Habitation et immobilier","non"
3203062,"Journal Métro",2025-10-15T13:59:33,2025-10-15T14:05:28,"https://journalmetro.com/actualites/elections/3203062/un-credit-de-taxes-pour-loger-ses-enfants/","Un crédit de taxes pour loger ses enfants","Olivier Robichaud","Élections","non"
3203044,"Journal Métro",2025-10-15T12:55:54,2025-10-15T14:07:45,"https://journalmetro.com/actualites/elections/3203044/projet-montreal-critique-le-double-discours-d-ensemble-montreal/","Projet Montréal critique le «double discours» de Soraya Martinez Ferrada","Agent IA Journal Métro","Élections","oui"
3203022,"Journal Métro",2025-10-15T08:32:23,2025-10-15T14:10:13,"https://journalmetro.com/local/ahuntsic-cartierville/3203022/grogne-des-commercants-contre-une-piste-cyclable-du-district-central/","Grogne des entreprises contre une piste cyclable du District Central","Olivier Robichaud","Ahuntsic-Cartierville","non"
3203075,"Journal Métro",2025-10-15T14:43:22,2025-10-15T14:43:25,"https://journalmetro.com/culture/ecrans/3203075/un-documentaire-sur-lart-de-la-drag-au-canada/","Un documentaire sur l’art de la drag au Canada","Agent IA Journal Métro","Écrans","oui"
395582,"Métro Québec",2025-10-15T14:51:04,2025-10-15T14:51:12,"https://metroquebec.com/actualites/395582/la-ville-de-quebec-renforce-ses-liens-avec-les-entrepreneurs-locaux/","La Ville de Québec renforce ses liens avec les entrepreneurs locaux","Agent IA Métro Québec","Actualités","oui"
395585,"Métro Québec",2025-10-15T14:54:34,2025-10-15T14:54:36,"https://metroquebec.com/actualites/395585/elections-municipales-a-quebec-revision-de-la-liste-electorale-en-cours/","Élections municipales à Québec : Révision de la liste électorale en cours","Agent IA Métro Québec","Actualités","oui"
3203092,"Journal Métro",2025-10-16T05:00:00,2025-10-15T16:01:16,"https://journalmetro.com/culture/ecrans/3203092/haro-sur-les-finances-municipales-a-zone-economie/","Haro sur les finances municipales à Zone économie","Olivier Robichaud","Écrans","non"
395593,"Métro Québec",2025-10-16T05:00:00,2025-10-15T16:13:46,"https://metroquebec.com/culture/ecrans/395593/elections-haro-sur-les-finances-municipales-a-zone-economie/","Élections: haro sur les finances municipales à Zone économie","Olivier Robichaud","Écrans","non"
3203112,"Journal Métro",2025-10-16T06:59:19,2025-10-16T06:59:21,"https://journalmetro.com/actualites/national/3203112/les-canadiens-jugent-cruciale-la-relation-economique-avec-les-etats-unis/","Sondage: la relation avec les États-Unis demeure cruciale","Agent IA Journal Métro","National","oui"
3203139,"Journal Métro",2025-10-16T12:07:15,2025-10-16T12:07:18,"https://journalmetro.com/local/rosemont-la-petite-patrie/3203139/projet-montreal-ruelles-vertes-rosemont-la-petite-patri/","Projet Montréal veut faciliter les ruelles vertes dans Rosemont-La Petite-Patrie","Agent IA Journal Métro","Rosemont–La Petite-Patrie","oui"
3203109,"Journal Métro",2025-10-16T12:12:38,2025-10-16T12:12:40,"https://journalmetro.com/actualites/3203109/elections-municipales-a-boucherville-les-districts-1-2-et-5-aux-urnes/","Boucherville: les districts 1, 2 et 5 aux urnes","Agent IA Journal Métro","Actualités","oui"
3203087,"Journal Métro",2025-10-16T12:22:51,2025-10-16T12:22:53,"https://journalmetro.com/actualites/3203087/parti-laval-devoile-son-plan-pour-une-mobilite-amelioree/","Parti Laval dévoile son plan pour du transport amélioré","Agent IA Journal Métro","Actualités","oui"
3203161,"Journal Métro",2025-10-16T15:00:39,2025-10-16T15:00:42,"https://journalmetro.com/actualites/elections/3203161/soraya-martinez-ferrada-promet-10-actions-100-jours/","Soraya Martinez Ferrada promet 10 actions en 100 jours","Agent IA Journal Métro","Élections","oui"
3203175,"Journal Métro",2025-10-16T16:10:15,2025-10-16T16:15:46,"https://journalmetro.com/local/outremont/3203175/la-pizzeria-no-900-sera-t-elle-expulsee-du-theatre-outremont/","La Pizzeria No 900 sera-t-elle expulsée du Théâtre Outremont?","Olivier Robichaud","Outremont","non"
3203164,"Journal Métro",2025-10-16T16:24:49,2025-10-16T16:24:55,"https://journalmetro.com/local/ids-verdun/3203164/verdun-2021-2025-un-bilan-de-resilience-et-de-fierte-locale/","Projet Montréal dresse son bilan dans Verdun","Agent IA Journal Métro","IDS-Verdun","oui"
3203157,"Journal Métro",2025-10-16T16:33:52,2025-10-16T16:33:55,"https://journalmetro.com/local/rosemont-la-petite-patrie/3203157/archipel-une-nouvelle-uvre-d-art-public-emerge-a-rosemont/","«Archipel», une nouvelle oeuvre d’art public à Rosemont","Agent IA Journal Métro","Rosemont–La Petite-Patrie","oui"
3203192,"Journal Métro",2025-10-16T17:08:12,2025-10-16T17:08:14,"https://journalmetro.com/actualites/elections/3203192/bruit-projet-montreal-promet-de-proteger-les-bars-et-boites-de-nuit/","Bruit: Projet Montréal promet de protéger les bars et boîtes de nuit","Olivier Robichaud","Élections","non"
3203197,"Journal Métro",2025-10-17T14:28:16,2025-10-17T14:30:37,"https://journalmetro.com/actualites/elections/3203197/priorite-aux-ecoles-disent-luc-rabouin-et-soraya-martinez-ferrada/","Priorité aux écoles, disent Luc Rabouin et Soraya Martinez Ferrada","Olivier Robichaud","Élections","non"
3203214,"Journal Métro",2025-10-19T05:00:00,2025-10-18T22:17:39,"https://journalmetro.com/actualites/elections/3203214/une-plateforme-avec-peu-de-details-et-alors/","Une plateforme avec peu de détails… et alors?","Olivier Robichaud","Élections","non"
3203205,"Journal Métro",2025-10-20T06:46:02,2025-10-20T06:46:05,"https://journalmetro.com/local/villeray-st-michel-parc-extension/3203205/montreal-future-bibliotheque-caroline-dawson/","Voici à quoi ressemblera la future bibliothèque Caroline-Dawson","Agent IA Journal Métro","Villeray–Saint-Michel–Parc-Extension","oui"
3203212,"Journal Métro",2025-10-20T07:13:45,2025-10-20T07:13:48,"https://journalmetro.com/actualites/elections/3203212/ensemble-montreal-soutient-l-agrandissement-du-musee-pointe-a-calliere/","Ensemble Montréal appuierait l’agrandissement du musée Pointe-à-Callière","Agent IA Journal Métro","Élections","oui"
3203220,"Journal Métro",2025-10-20T07:20:20,2025-10-20T07:20:23,"https://journalmetro.com/actualites/elections/3203220/soraya-martinez-ferrada-promet-plus-de-pouvoirs-aux-arrondissements-de-montreal/","Soraya Martinez Ferrada promet plus de pouvoirs aux arrondissements","Agent IA Journal Métro","Élections","oui"
3203240,"Journal Métro",2025-10-20T11:30:09,2025-10-20T11:30:12,"https://journalmetro.com/actualites/montreal/3203240/le-rem-de-deux-montagnes-pret-pour-le-17-novembre-2025/","L’antenne Deux-Montagnes du REM en service le 17 novembre","Agent IA Journal Métro","Montréal","oui"
3203249,"Journal Métro",2025-10-20T15:36:58,2025-10-20T15:37:00,"https://journalmetro.com/actualites/national/3203249/le-canada-grimpe-dans-l-indice-de-competitivite-fiscale/","Le Canada grimpe dans l’Indice de compétitivité fiscale","Agent IA Journal Métro","National","oui"
3203252,"Journal Métro",2025-10-20T15:37:37,2025-10-20T15:37:40,"https://journalmetro.com/actualites/montreal/3203252/ensemble-montreal-promet-moins-de-chantiers-grace-a-l-ia/","Ensemble Montréal promet moins de chantiers grâce à l’IA","Agent IA Journal Métro","Montréal","oui"
3203268,"Journal Métro",2025-10-20T16:46:18,2025-10-20T16:46:20,"https://journalmetro.com/actualites/elections/3203268/luc-rabouin-et-soraya-martinez-ferrada-devoilent-leurs-revenus/","Luc Rabouin et Soraya Martinez Ferrada dévoilent leurs revenus","Olivier Robichaud","Élections","non"
3203270,"Journal Métro",2025-10-20T16:56:33,2025-10-20T16:56:35,"https://journalmetro.com/actualites/politique/3203270/manon-masse-ne-sera-pas-candidate-aux-elections-de-2026/","Manon Massé ne sera pas candidate aux élections de 2026","Olivier Robichaud","Politique","non"
3203294,"Journal Métro",2025-10-21T14:25:38,2025-10-21T14:25:41,"https://journalmetro.com/actualites/elections/3203294/soraya-martinez-ferrada-promet-le-prolongement-du-boulevard-cavendish/","Soraya Martinez Ferrada veut raccorder le boulevard Cavendish","Agent IA Journal Métro","Élections","oui"
3203297,"Journal Métro",2025-10-21T14:45:05,2025-10-21T14:45:07,"https://journalmetro.com/local/le-plateau-mont-royal/3203297/les-candidats-a-la-mairie-du-plateau-mont-royal-s-engagent-pour-la-vitalite-du-b/","Vitalité du boulevard Saint-Laurent: qu’en disent les candidats?","Agent IA Journal Métro","Le Plateau-Mont-Royal","oui"
3203301,"Journal Métro",2025-10-21T14:54:21,2025-10-21T14:54:24,"https://journalmetro.com/inspiration/a-table/3203301/mtlatable-2025-les-delices-d-outremont-a-l-honneur/","MTLàTABLE 2025 – Les Délices d’Outremont à l’Honneur","Agent IA Journal Métro","À table","oui"
3203320,"Journal Métro",2025-10-22T06:00:00,2025-10-22T06:44:12,"https://journalmetro.com/local/ville-marie/3203320/itinerance-les-organismes-du-centre-sud-sont-au-bout-du-rouleau/","Itinérance: les organismes du Centre-Sud sont au bout du rouleau","Olivier Robichaud","Ville-Marie","non"
